"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sweden1","Sweden2","Sweden3","WL7","WL8","WL9","Silkie1","Silkie2","Silkie3","Tibetan1","Tibetan2","Tibetan3","WC.white1","WC.white2","WC.white3"
"931","gene-CRYGS",273.212352783461,-1.25651776180808,0.321760955563146,-3.90512813964305,9.41754700847309e-05,0.00141029948230137,290.25834173869,298.550690912994,176.297925922132,146.162278931387,194.567740836794,124.69600906003,293.953693171308,630.793637830833,783.395234020764,209.426642843849,269.114579595325,252.731148748478,146.46490925673,159.550019422158,122.22243946044
"932","gene-LOC121109981",14.6653195042807,-2.54940159731865,0.652937044911216,-3.9045136390834,9.44150676971305e-05,0.00141224613257738,16.1254634299272,12.683526084539,8.93676122185925,0,10.5579394252524,12.2250989274539,11.917041615053,15.902360617584,20.4055383720018,25.0061663097133,40.0335738240979,43.3680669450051,0.915405682854562,0.955389337857236,0.947460771011165
"933","gene-LOC112530236",17.0487701695625,-1.37940518649411,0.353631301952625,-3.9006874642531,9.59199168144761e-05,0.0014310432608835,10.0784146437045,15.6104936425095,17.0610896053677,7.94360211583627,7.54138530375171,2.44501978549078,25.158198965112,26.50393436264,27.5031169361763,30.476265189963,29.6544991289614,23.9272093489684,12.8156795599639,7.64311470285789,11.369529252134
"934","gene-LOC112531619",79.1377981178089,-3.135026852649,0.803868549675987,-3.89992475002614,9.62225900607689e-05,0.0014346309242092,450.505134573592,384.408405946796,156.799537801712,9.53232253900353,9.04966236450205,4.89003957098157,24.496141097609,21.960402757616,19.51834105148,14.0659685492137,20.758149390273,11.9636046744842,21.0543307056549,20.063176095002,18.0017546492121
"935","gene-LOC112530867",13.8486262245434,-3.08465861603266,0.791050864042259,-3.89944408918296,9.64137970760043e-05,0.0014358930459477,98.7684635083044,12.683526084539,11.3740597369118,0,1.50827706075034,0,13.2411573500589,10.601573745056,212.040159604714,13.2845258520352,18.5340619556009,6.72952762939735,6.40783977998193,4.77694668928618,0.947460771011165
"936","gene-LOC107053073",164.592912778379,-1.6849534834683,0.432234752427704,-3.89823695111173,9.68955800226303e-05,0.00144093910588135,100.784146437045,87.8090267391158,73.9313882899265,60.3713760803557,48.264865944011,44.0103561388341,231.720253626031,161.295371978352,196.957805155843,350.867771033164,613.106769491277,230.29938998382,96.117596699729,110.825163191439,62.5324108867369
"937","gene-LOC112531367",20.3033526431197,-1.57865529715997,0.404990044892061,-3.89801012906555,9.69863606731017e-05,0.00144135979956514,12.0940975724454,19.5131170531369,13.8113582519643,7.94360211583627,10.5579394252524,4.89003957098157,33.1028933751473,31.047465967664,57.6678258339181,25.0061663097133,36.3267614329777,21.6840334725026,11.9002738771093,6.68772536500065,12.3169900231451
"938","gene-NR2C2AP",155.043245498948,-1.98628659105356,0.509586733302005,-3.89783811321555,9.70552598575013e-05,0.00144145497013089,63.4940122553385,119.030014024135,139.738448196345,4.76616126950176,42.2317577010096,14.6701187129447,260.850799796161,221.118538111168,287.451931849069,214.896741724098,412.197537892564,275.162907513136,70.4862375798012,70.6988110014355,128.854664857518
"939","gene-WDR60",5426.95580316627,2.24345533502701,0.576656481403917,3.89045368841625,0.000100056972436148,0.00147936799310241,3641.33121077045,4096.77892530608,3833.87056417762,23953.1378200927,6116.06348134264,25452.6559669591,1340.00512382596,1325.95397339951,1144.48454347314,1389.40511558344,1318.88384876056,1491.71195784975,2322.38421740202,2082.74875652878,1894.92154202233
"940","gene-HAS3",41.0773391280029,-1.28722865875303,0.33097575937202,-3.88919315781724,0.000100578045230263,0.00148568235388144,76.5959512921544,43.9045133695579,70.6816569365231,14.2984838085053,10.5579394252524,2.44501978549078,51.6405136652298,44.678060782736,42.5854713850472,60.1710876827475,50.4126485192344,49.3498692822472,27.4621704856368,38.2155735142895,33.1611269853908
"941","gene-LOC428505",18.0308442923263,-2.03333250576533,0.522827320021674,-3.8891091339317,0.000100612869575669,0.00148568235388144,18.1411463586682,10.7322143792253,12.1864925752626,4.76616126950176,6.03310824300137,4.89003957098157,28.4684883026267,50.7361029227681,54.1190365518308,18.754624732285,30.3958616071854,9.72042879801839,8.23865114569105,1.91077867571447,11.369529252134
"942","gene-ZBTB18",885.984204737166,1.21163810800477,0.311604556141089,3.8883837996777,0.000100913963507811,0.00148917502770804,935.27687893578,961.996670719647,1013.91618226185,1429.84838085053,1147.79884323101,1425.44653494113,392.600315429247,345.308401981824,246.640855105065,543.884117236264,325.458127940351,459.851054675485,1394.1628549875,1312.70495021584,1354.86890254597
"943","gene-URAH",42.0706006917263,-1.57115568511664,0.404098368094629,-3.88805253662572,0.000101051757051959,0.00149025497212496,52.4077561472636,28.2940197270484,51.183268816103,4.76616126950176,25.6407100327558,0,70.8401918228153,56.0368897952961,78.9605615264417,49.230889922248,67.4639855183872,65.0521004175077,15.5618966085275,29.6170694735743,36.0035092984243
"944","gene-RFT1",505.030506113909,1.5424747093742,0.397146096596768,3.88389744376692,0.000102795280497572,0.00151499881448978,373.909183281438,249.767898280152,338.784493592301,1061.26524267573,840.110322837941,1427.89155472662,724.291307048223,122.675353335648,125.982019514098,279.756485589917,207.58149390273,150.292783723207,476.010955084372,402.218911237897,794.919586878368
"945","gene-NUP42",319.392192954645,-1.3181739884173,0.339426494854654,-3.88353298401692,0.000102949558809718,0.0015163036870665,297.313231989284,304.404626028935,155.987104963361,74.6698598888609,197.584294958295,129.586048631012,494.557227024701,635.337169435857,602.406980634314,278.19360019556,667.226230401632,346.944535560041,192.235193399458,276.107518640741,138.32927256763
"946","gene-SEMA4G",171.083319088901,-1.05675781922802,0.272133322449548,-3.88323564977581,0.000103075584275865,0.00151719103466677,203.583975802832,243.913963164211,216.107135001324,54.0164943876866,135.744935467531,26.8952176403986,205.899996793416,226.419324983696,271.482380079676,189.890575414385,214.99511868497,177.958619532952,124.49517286822,124.200613921441,150.646262590775
"947","gene-SAYSD1",1171.4335437359,-2.20554125938281,0.568042353596754,-3.88270565639634,0.000103300583748787,0.00151759742940495,329.564158849138,333.67430160864,298.162851674759,117.565311314377,205.125680262047,156.48126627141,1955.0568827362,2166.50732032895,4081.99487172088,1322.20104362609,2694.11124586614,2173.63742429534,681.977233726648,567.501266687198,487.94229707075
"948","gene-PMEL",20.0073891997049,-2.72004174877365,0.700545255453196,-3.88274951204116,0.000103281948020356,0.00151759742940495,9.07057317933408,8.78090267391158,8.93676122185925,0,0,0,37.7372984476679,84.0553346929441,40.8110767440036,26.5690517040703,34.1026739983056,24.6749346411236,8.23865114569105,9.55389337857236,7.57968616808932
"949","gene-MIR6581",5.74371920756602,-2.3922327489969,0.616203201377924,-3.88221408724833,0.000103509685160395,0.00151790396043517,12.0940975724454,6.8295909685979,6.49946270680673,0,4.52483118225103,0,9.26881014504125,8.32980794254401,8.87197320521817,10.9401977604996,5.93089982579228,8.22497821370787,2.74621704856368,0,1.89492154202233
"950","gene-LOC100858360",931.332360434119,-2.40680299523336,0.61995972565656,-3.88219249675368,0.000103518878376957,0.00151790396043517,254.983890485725,195.131170531369,213.669836486271,114.387870468042,93.5131777665212,44.0103561388341,1908.71283201099,2243.74735761435,2551.57949382075,1151.84653564117,2340.48134375328,1552.27770651432,406.440123187425,464.319218198617,434.884493894125
"951","gene-LOC121107724",11.5230223532538,-4.08875727743447,1.05350392497916,-3.88110303197529,0.000103983773465627,0.00152278459364107,6.04704878622272,8.78090267391158,4.0621641917542,4.76616126950176,0,0,13.2411573500589,33.319231770176,1.77439464104363,4.68865618307124,82.2912350828679,11.9636046744842,0,1.91077867571447,0
"952","gene-LOC121108795",14.1239584482959,-3.22496548529841,0.83100985129714,-3.88077888639286,0.000104122472361522,0.00152384823922494,6.04704878622272,0.975655852656843,4.0621641917542,0,1.50827706075034,0,36.4131827126621,13.630594815072,28.3903142566981,17.9731820351064,57.8262733014747,33.6476381469867,0.915405682854562,5.73233602714342,4.73730385505583
"953","gene-RASAL1",523.671032781827,-1.81890215568977,0.468952152770818,-3.87865189431956,0.000105036933441967,0.00153431087386889,282.195610023727,212.692975879192,228.293627576586,106.444268352206,162.893922561037,53.7904352807972,780.566225785974,961.714189730081,1349.42712451368,641.564454383581,1213.61037685275,939.890692239163,300.253063976296,365.914116399322,255.814408173015
"954","gene-LOC107055677",17.8224352234818,-1.67419633806005,0.431867572043088,-3.87664285637314,0.000105907638204827,0.00154507253332975,22.17251221615,29.2696755797053,21.1232537971219,0,18.0993247290041,4.89003957098157,17.2135045550766,31.047465967664,41.6982740645254,10.158755063321,25.2063242596172,23.9272093489684,7.32324546283649,5.73233602714342,9.47460771011165
"955","gene-LOC112530636",68.7436271337935,3.13801548731277,0.809631415473729,3.8758568742996,0.000106250127966067,0.00154811067690292,33.2587683242249,35.1236106956463,19.4983881204202,427.365793831991,134.23665840678,273.842215974968,9.26881014504125,5.30078687252801,0.887197320521817,14.8474112463923,27.4304116942893,4.48635175293157,23.8005477542186,1.91077867571447,19.8966761912345
"956","gene-MIR7478",6.86730633362379,-2.62077364758574,0.676452442384012,-3.87429105636663,0.000106935546635023,0.00155290646598819,11.086256108075,2.92696755797053,6.49946270680673,0,0,0,14.5652730850648,12.116084280064,14.1951571283491,8.59586966896394,6.67226230401632,17.9454070117263,3.66162273141825,0.955389337857236,3.78984308404466
"957","gene-ESPNL",26.2510862431969,-2.2301590095262,0.575601471456885,-3.87448455244827,0.000106850620593241,0.00155290646598819,10.0784146437045,10.7322143792253,18.6859552820693,11.1210429621708,3.01655412150068,0,43.6958192551945,42.406294980224,108.238073103662,41.4164629504626,48.1885610845623,23.1794840568131,8.23865114569105,16.241618743573,8.52714693910049
"958","gene-H3F3C",14497.3920700633,1.56005245882173,0.402826842520045,3.8727619268423,0.000107608930445027,0.00156100627717897,12380.3245483266,15558.7838823187,12859.1869654171,45594.687424477,15910.8147138554,44897.8983209673,5505.011168287,4897.92707021588,6357.65599885934,4483.13675371328,5534.27089994242,5746.26887021318,12694.8460098271,13427.0417542456,11613.0266702839
"959","gene-LOC112532063",22.902390835039,-1.43785128634648,0.371317312400975,-3.87229800046001,0.00010781401980223,0.00156220511089422,14.1097805011863,29.2696755797053,33.3097463723845,0,18.0993247290041,4.89003957098157,37.075240580165,27.261189630144,26.6159196156545,38.2906921617484,34.1026739983056,38.1339898999183,11.9002738771093,19.1077867571447,11.369529252134
"960","gene-LOC124417875",12201.447190726,1.87167521060729,0.483494008038499,3.87114458398469,0.000108325513612779,0.00156844191555477,9570.46254566182,12785.9699490679,10132.6623599117,44949.6669326711,14746.4248229561,44176.6174842475,3371.86071919251,3070.67010972872,3924.073748668,3067.94402912295,3519.2476841295,3764.79684600174,8874.85809527497,9114.41428315803,7952.03825109671
"961","gene-SLA2",362.966580903188,-2.28985631401924,0.59217925656067,-3.86682966120519,0.000110259384265848,0.00159244376837307,262.038780736318,144.397066193213,254.291478403813,30.1856880401778,46.7565888832606,2.44501978549078,775.931820713453,558.097132150449,938.654765112082,590.770679066976,882.962711564826,387.321701336425,169.350051328094,176.747027503589,224.548202729646
"962","gene-F3",121.367003259832,1.17976874245554,0.305331687967249,3.86389224881923,0.000111594463090853,0.00160669556254091,96.7527805795635,103.419520381625,104.803836147258,77.8473007351954,146.302874892783,136.921107987484,71.5022496903182,82.5408241579361,57.6678258339181,68.7669573517115,68.9467104748353,73.2770786312156,162.026805865257,150.951515381443,418.777660786935
"963","gene-MAMDC4",66.3999672568612,-1.82145221580843,0.47156142204157,-3.86259802153168,0.000112187527208792,0.00161367560001509,41.3215000391886,45.8558250748716,52.8081344928046,0,31.6738182757572,19.5601582839263,92.0260435829096,130.247906010688,195.1834105148,84.3958112952823,116.393909081174,81.5020568449234,38.4470386798916,31.5278481492888,35.0560485274131
"964","gene-ADRB2",187.13803124622,-1.47904766605358,0.382967368395788,-3.86207230200622,0.000112429279952749,0.00161553272737489,612.767610337235,184.398956152143,170.610896053677,52.4277739645194,132.72838134603,53.7904352807972,381.345331681697,150.693798233296,204.94258104054,257.876090068918,216.477843641418,88.2315844743208,111.679493308257,66.8772536500065,122.22243946044
